Sentence,Entities
The Sydney Opera House is a famous monument in Toronto.,"[(4, 10, 'LOC'), (47, 54, 'LOC'), (4, 22, 'FACILITY')]"
Mona Lisa is displayed at a museum in Rome.,"[(38, 42, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Tesla raised €1 billion in April.,"[(0, 5, 'ORG'), (27, 32, 'DATE'), (13, 23, 'MONEY')]"
iPhone was launched by WHO at the World Cup.,"[(23, 26, 'ORG'), (0, 6, 'PRODUCT'), (34, 43, 'EVENT')]"
Sarah visited Paris during the Olympics.,"[(0, 5, 'PER'), (14, 19, 'LOC'), (31, 39, 'EVENT')]"
WHO announced a new Galaxy S22 on 2023.,"[(0, 3, 'ORG'), (34, 38, 'DATE'), (20, 30, 'PRODUCT')]"
Apple raised €200 in January 1st.,"[(0, 5, 'ORG'), (21, 32, 'DATE'), (13, 17, 'MONEY')]"
UN announced a new PlayStation on December 2024.,"[(0, 2, 'ORG'), (34, 47, 'DATE'), (19, 30, 'PRODUCT')]"
WHO follows the HIPAA strictly.,"[(0, 3, 'ORG'), (16, 21, 'LAW')]"
Liam is an Indian citizen working in New York.,"[(0, 4, 'PER'), (37, 45, 'LOC'), (11, 17, 'NATIONALITY')]"
Sophia donated €200 to Apple.,"[(0, 6, 'PER'), (23, 28, 'ORG'), (15, 19, 'MONEY')]"
Surface Pro was launched by NASA at the Olympics.,"[(28, 32, 'ORG'), (0, 11, 'PRODUCT'), (40, 48, 'EVENT')]"
David wrote about Guernica in English.,"[(0, 5, 'PER'), (18, 26, 'WORK_OF_ART'), (30, 37, 'LANGUAGE')]"
Emma is an American citizen working in Berlin.,"[(0, 4, 'PER'), (39, 45, 'LOC'), (11, 19, 'NATIONALITY')]"
The Eiffel Tower is a famous monument in Mumbai.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Tesla follows the HIPAA strictly.,"[(0, 5, 'ORG'), (18, 23, 'LAW')]"
Surface Pro was launched by Apple at the World Cup.,"[(28, 33, 'ORG'), (0, 11, 'PRODUCT'), (41, 50, 'EVENT')]"
Guernica is displayed at a museum in New York.,"[(37, 45, 'LOC'), (0, 8, 'WORK_OF_ART')]"
NASA announced a new iPhone on December 2024.,"[(0, 4, 'ORG'), (31, 44, 'DATE'), (21, 27, 'PRODUCT')]"
Apple follows the GDPR strictly.,"[(0, 5, 'ORG'), (18, 22, 'LAW')]"
iPhone was launched by NASA at the Olympics.,"[(23, 27, 'ORG'), (0, 6, 'PRODUCT'), (35, 43, 'EVENT')]"
The Burj Khalifa is a famous monument in London.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Galaxy S22 was launched by Microsoft at the World Cup.,"[(27, 36, 'ORG'), (0, 10, 'PRODUCT'), (44, 53, 'EVENT')]"
Pixel 8 was launched by Amazon at the Olympics.,"[(24, 30, 'ORG'), (0, 7, 'PRODUCT'), (38, 46, 'EVENT')]"
David wrote about Starry Night in Hindi.,"[(0, 5, 'PER'), (18, 30, 'WORK_OF_ART'), (34, 39, 'LANGUAGE')]"
Galaxy S22 was launched by Microsoft at the Coachella.,"[(27, 36, 'ORG'), (0, 10, 'PRODUCT'), (44, 53, 'EVENT')]"
The Sydney Opera House is a famous monument in Berlin.,"[(47, 53, 'LOC'), (4, 10, 'LOC'), (4, 22, 'FACILITY')]"
Tesla follows the Patent Act strictly.,"[(0, 5, 'ORG'), (18, 28, 'LAW')]"
Guernica is displayed at a museum in Sydney.,"[(37, 43, 'LOC'), (0, 8, 'WORK_OF_ART')]"
MacBook Pro was launched by Netflix at the Comic-Con.,"[(28, 35, 'ORG'), (0, 11, 'PRODUCT'), (43, 52, 'EVENT')]"
WHO follows the GDPR strictly.,"[(0, 3, 'ORG'), (16, 20, 'LAW')]"
Emma is an Canadian citizen working in Toronto.,"[(0, 4, 'PER'), (39, 46, 'LOC'), (11, 19, 'NATIONALITY')]"
Robert donated €1 billion to WHO.,"[(0, 6, 'PER'), (29, 32, 'ORG'), (15, 25, 'MONEY')]"
UN follows the Copyright Law strictly.,"[(0, 2, 'ORG'), (15, 28, 'LAW')]"
David wrote about Starry Night in Spanish.,"[(0, 5, 'PER'), (18, 30, 'WORK_OF_ART'), (34, 41, 'LANGUAGE')]"
Netflix raised $5 million in April.,"[(0, 7, 'ORG'), (29, 34, 'DATE'), (15, 25, 'MONEY')]"
David visited New York during the Comic-Con.,"[(0, 5, 'PER'), (14, 22, 'LOC'), (34, 43, 'EVENT')]"
Tesla raised $100 in January 1st.,"[(0, 5, 'ORG'), (21, 32, 'DATE'), (13, 17, 'MONEY')]"
The Sydney Opera House is a famous monument in Cairo.,"[(4, 10, 'LOC'), (47, 52, 'LOC'), (4, 22, 'FACILITY')]"
David donated $100 to Amazon.,"[(0, 5, 'PER'), (22, 28, 'ORG'), (14, 18, 'MONEY')]"
Google announced a new Kindle on 2023.,"[(0, 6, 'ORG'), (33, 37, 'DATE'), (23, 29, 'PRODUCT')]"
Google follows the HIPAA strictly.,"[(0, 6, 'ORG'), (19, 24, 'LAW')]"
The Sydney Opera House is a famous monument in Cairo.,"[(4, 10, 'LOC'), (47, 52, 'LOC'), (4, 22, 'FACILITY')]"
Sarah visited Paris during the World Cup.,"[(0, 5, 'PER'), (14, 19, 'LOC'), (31, 40, 'EVENT')]"
The Last Supper is displayed at a museum in Cairo.,"[(44, 49, 'LOC'), (0, 15, 'WORK_OF_ART')]"
The Empire State Building is a famous monument in London.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
Galaxy S22 was launched by WHO at the Comic-Con.,"[(27, 30, 'ORG'), (0, 10, 'PRODUCT'), (38, 47, 'EVENT')]"
UN follows the Patent Act strictly.,"[(0, 2, 'ORG'), (15, 25, 'LAW')]"
Netflix follows the GDPR strictly.,"[(0, 7, 'ORG'), (20, 24, 'LAW')]"
Michael is an American citizen working in Tokyo.,"[(0, 7, 'PER'), (42, 47, 'LOC'), (14, 22, 'NATIONALITY')]"
Google announced a new MacBook Pro on August 15.,"[(0, 6, 'ORG'), (38, 47, 'DATE'), (23, 34, 'PRODUCT')]"
Olivia donated €200 to Tesla.,"[(0, 6, 'PER'), (23, 28, 'ORG'), (15, 19, 'MONEY')]"
UN raised $5 million in April.,"[(0, 2, 'ORG'), (24, 29, 'DATE'), (10, 20, 'MONEY')]"
The Last Supper is displayed at a museum in Paris.,"[(44, 49, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Liam wrote about Starry Night in Mandarin.,"[(0, 4, 'PER'), (17, 29, 'WORK_OF_ART'), (33, 41, 'LANGUAGE')]"
Olivia visited Sydney during the Super Bowl.,"[(0, 6, 'PER'), (15, 21, 'LOC'), (33, 43, 'EVENT')]"
Tesla announced a new iPhone on 2023.,"[(0, 5, 'ORG'), (32, 36, 'DATE'), (22, 28, 'PRODUCT')]"
iPhone was launched by Apple at the Comic-Con.,"[(23, 28, 'ORG'), (0, 6, 'PRODUCT'), (36, 45, 'EVENT')]"
Amazon follows the Copyright Law strictly.,"[(0, 6, 'ORG'), (19, 32, 'LAW')]"
UN raised €200 in 2023.,"[(0, 2, 'ORG'), (18, 22, 'DATE'), (10, 14, 'MONEY')]"
Mona Lisa is displayed at a museum in Berlin.,"[(38, 44, 'LOC'), (0, 9, 'WORK_OF_ART')]"
UNICEF announced a new iPhone on December 2024.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (33, 46, 'DATE'), (23, 29, 'PRODUCT')]"
MacBook Pro was launched by Amazon at the Comic-Con.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
Pixel 8 was launched by Google at the World Cup.,"[(24, 30, 'ORG'), (0, 7, 'PRODUCT'), (38, 47, 'EVENT')]"
John donated $100 to UNICEF.,"[(0, 4, 'PER'), (21, 27, 'ORG'), (21, 23, 'ORG'), (13, 17, 'MONEY')]"
NASA raised €1 billion in 2023.,"[(0, 4, 'ORG'), (26, 30, 'DATE'), (12, 22, 'MONEY')]"
The Last Supper is displayed at a museum in Berlin.,"[(44, 50, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Olivia wrote about The Last Supper in English.,"[(0, 6, 'PER'), (19, 34, 'WORK_OF_ART'), (38, 45, 'LANGUAGE')]"
The Empire State Building is a famous monument in Berlin.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
"Sophia donated ₹50,000 to UN.","[(0, 6, 'PER'), (26, 28, 'ORG'), (15, 22, 'MONEY')]"
Sophia wrote about The Last Supper in Mandarin.,"[(0, 6, 'PER'), (19, 34, 'WORK_OF_ART'), (38, 46, 'LANGUAGE')]"
Tesla follows the HIPAA strictly.,"[(0, 5, 'ORG'), (18, 23, 'LAW')]"
Robert visited Paris during the Super Bowl.,"[(0, 6, 'PER'), (15, 20, 'LOC'), (32, 42, 'EVENT')]"
John visited Berlin during the Olympics.,"[(0, 4, 'PER'), (13, 19, 'LOC'), (31, 39, 'EVENT')]"
Robert wrote about Starry Night in English.,"[(0, 6, 'PER'), (19, 31, 'WORK_OF_ART'), (35, 42, 'LANGUAGE')]"
Liam is an French citizen working in Sydney.,"[(0, 4, 'PER'), (37, 43, 'LOC'), (11, 17, 'LANGUAGE'), (11, 17, 'NATIONALITY')]"
Sophia is an Canadian citizen working in Tokyo.,"[(0, 6, 'PER'), (41, 46, 'LOC'), (13, 21, 'NATIONALITY')]"
The Eiffel Tower is a famous monument in Cairo.,"[(41, 46, 'LOC'), (4, 16, 'FACILITY')]"
The Last Supper is displayed at a museum in New York.,"[(44, 52, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Google follows the HIPAA strictly.,"[(0, 6, 'ORG'), (19, 24, 'LAW')]"
Robert visited Rome during the Comic-Con.,"[(0, 6, 'PER'), (15, 19, 'LOC'), (31, 40, 'EVENT')]"
The Burj Khalifa is a famous monument in Mumbai.,"[(41, 47, 'LOC'), (4, 16, 'FACILITY')]"
Liam donated €200 to NASA.,"[(0, 4, 'PER'), (21, 25, 'ORG'), (13, 17, 'MONEY')]"
MacBook Pro was launched by Amazon at the Olympics.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 50, 'EVENT')]"
Guernica is displayed at a museum in London.,"[(37, 43, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Sophia wrote about Starry Night in Hindi.,"[(0, 6, 'PER'), (19, 31, 'WORK_OF_ART'), (35, 40, 'LANGUAGE')]"
Alice wrote about Starry Night in Hindi.,"[(0, 5, 'PER'), (18, 30, 'WORK_OF_ART'), (34, 39, 'LANGUAGE')]"
Kindle was launched by Microsoft at the Super Bowl.,"[(23, 32, 'ORG'), (0, 6, 'PRODUCT'), (40, 50, 'EVENT')]"
UN announced a new iPhone on Monday.,"[(0, 2, 'ORG'), (29, 35, 'DATE'), (19, 25, 'PRODUCT')]"
Mona Lisa is displayed at a museum in New York.,"[(38, 46, 'LOC'), (0, 9, 'WORK_OF_ART')]"
Michael is an French citizen working in New York.,"[(0, 7, 'PER'), (40, 48, 'LOC'), (14, 20, 'LANGUAGE'), (14, 20, 'NATIONALITY')]"
Pixel 8 was launched by Netflix at the Super Bowl.,"[(24, 31, 'ORG'), (0, 7, 'PRODUCT'), (39, 49, 'EVENT')]"
Amazon raised €200 in April.,"[(0, 6, 'ORG'), (22, 27, 'DATE'), (14, 18, 'MONEY')]"
Robert visited Berlin during the Super Bowl.,"[(0, 6, 'PER'), (15, 21, 'LOC'), (33, 43, 'EVENT')]"
Olivia is an Canadian citizen working in Rome.,"[(0, 6, 'PER'), (41, 45, 'LOC'), (13, 21, 'NATIONALITY')]"
Alice wrote about The Last Supper in Hindi.,"[(0, 5, 'PER'), (18, 33, 'WORK_OF_ART'), (37, 42, 'LANGUAGE')]"
Amazon announced a new PlayStation on June 5.,"[(0, 6, 'ORG'), (38, 44, 'DATE'), (23, 34, 'PRODUCT')]"
Sophia donated €1 billion to Microsoft.,"[(0, 6, 'PER'), (29, 38, 'ORG'), (15, 25, 'MONEY')]"
The Last Supper is displayed at a museum in Berlin.,"[(44, 50, 'LOC'), (0, 15, 'WORK_OF_ART')]"
Starry Night is displayed at a museum in London.,"[(41, 47, 'LOC'), (0, 12, 'WORK_OF_ART')]"
UNICEF follows the HIPAA strictly.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (19, 24, 'LAW')]"
WHO follows the GDPR strictly.,"[(0, 3, 'ORG'), (16, 20, 'LAW')]"
iPhone was launched by Google at the Super Bowl.,"[(23, 29, 'ORG'), (0, 6, 'PRODUCT'), (37, 47, 'EVENT')]"
Surface Pro was launched by Amazon at the World Cup.,"[(28, 34, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
David donated $5 million to Tesla.,"[(0, 5, 'PER'), (28, 33, 'ORG'), (14, 24, 'MONEY')]"
Apple announced a new PlayStation on January 1st.,"[(0, 5, 'ORG'), (37, 48, 'DATE'), (22, 33, 'PRODUCT')]"
WHO raised $100 in Monday.,"[(0, 3, 'ORG'), (19, 25, 'DATE'), (11, 15, 'MONEY')]"
Michael visited London during the Super Bowl.,"[(0, 7, 'PER'), (16, 22, 'LOC'), (34, 44, 'EVENT')]"
Netflix follows the Copyright Law strictly.,"[(0, 7, 'ORG'), (20, 33, 'LAW')]"
Alice visited Tokyo during the World Cup.,"[(0, 5, 'PER'), (14, 19, 'LOC'), (31, 40, 'EVENT')]"
Netflix raised $100 in June 5.,"[(0, 7, 'ORG'), (23, 29, 'DATE'), (15, 19, 'MONEY')]"
NASA follows the Patent Act strictly.,"[(0, 4, 'ORG'), (17, 27, 'LAW')]"
John is an Canadian citizen working in Rome.,"[(0, 4, 'PER'), (39, 43, 'LOC'), (11, 19, 'NATIONALITY')]"
Tesla raised $5 million in Monday.,"[(0, 5, 'ORG'), (27, 33, 'DATE'), (13, 23, 'MONEY')]"
Alice wrote about Starry Night in French.,"[(0, 5, 'PER'), (18, 30, 'WORK_OF_ART'), (34, 40, 'LANGUAGE'), (34, 40, 'NATIONALITY')]"
"Alice donated ₹50,000 to Netflix.","[(0, 5, 'PER'), (25, 32, 'ORG'), (14, 21, 'MONEY')]"
John wrote about Mona Lisa in Spanish.,"[(0, 4, 'PER'), (17, 26, 'WORK_OF_ART'), (30, 37, 'LANGUAGE')]"
Microsoft announced a new MacBook Pro on January 1st.,"[(0, 9, 'ORG'), (41, 52, 'DATE'), (26, 37, 'PRODUCT')]"
Alice donated €200 to Microsoft.,"[(0, 5, 'PER'), (22, 31, 'ORG'), (14, 18, 'MONEY')]"
UNICEF follows the GDPR strictly.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (19, 23, 'LAW')]"
"David donated ₹50,000 to Microsoft.","[(0, 5, 'PER'), (25, 34, 'ORG'), (14, 21, 'MONEY')]"
Liam wrote about Guernica in French.,"[(0, 4, 'PER'), (17, 25, 'WORK_OF_ART'), (29, 35, 'LANGUAGE'), (29, 35, 'NATIONALITY')]"
Amazon announced a new Pixel 8 on April.,"[(0, 6, 'ORG'), (34, 39, 'DATE'), (23, 30, 'PRODUCT')]"
Pixel 8 was launched by UNICEF at the Coachella.,"[(24, 30, 'ORG'), (24, 26, 'ORG'), (0, 7, 'PRODUCT'), (38, 47, 'EVENT')]"
Apple follows the Patent Act strictly.,"[(0, 5, 'ORG'), (18, 28, 'LAW')]"
Alice visited Paris during the Olympics.,"[(0, 5, 'PER'), (14, 19, 'LOC'), (31, 39, 'EVENT')]"
Google raised €1 billion in April.,"[(0, 6, 'ORG'), (28, 33, 'DATE'), (14, 24, 'MONEY')]"
Starry Night is displayed at a museum in Mumbai.,"[(41, 47, 'LOC'), (0, 12, 'WORK_OF_ART')]"
David is an French citizen working in Sydney.,"[(0, 5, 'PER'), (38, 44, 'LOC'), (12, 18, 'LANGUAGE'), (12, 18, 'NATIONALITY')]"
Emma is an French citizen working in Sydney.,"[(0, 4, 'PER'), (37, 43, 'LOC'), (11, 17, 'LANGUAGE'), (11, 17, 'NATIONALITY')]"
Olivia visited Berlin during the Comic-Con.,"[(0, 6, 'PER'), (15, 21, 'LOC'), (33, 42, 'EVENT')]"
Michael visited Toronto during the Olympics.,"[(0, 7, 'PER'), (16, 23, 'LOC'), (35, 43, 'EVENT')]"
PlayStation was launched by UNICEF at the World Cup.,"[(28, 34, 'ORG'), (28, 30, 'ORG'), (0, 11, 'PRODUCT'), (42, 51, 'EVENT')]"
Alice donated €200 to Tesla.,"[(0, 5, 'PER'), (22, 27, 'ORG'), (14, 18, 'MONEY')]"
Olivia is an Japanese citizen working in Toronto.,"[(0, 6, 'PER'), (41, 48, 'LOC'), (13, 21, 'NATIONALITY')]"
The Sydney Opera House is a famous monument in Mumbai.,"[(4, 10, 'LOC'), (47, 53, 'LOC'), (4, 22, 'FACILITY')]"
The Empire State Building is a famous monument in Mumbai.,"[(50, 56, 'LOC'), (4, 25, 'FACILITY')]"
Amazon announced a new Pixel 8 on August 15.,"[(0, 6, 'ORG'), (34, 43, 'DATE'), (23, 30, 'PRODUCT')]"
UNICEF announced a new Pixel 8 on April.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (34, 39, 'DATE'), (23, 30, 'PRODUCT')]"
Netflix announced a new iPhone on August 15.,"[(0, 7, 'ORG'), (34, 43, 'DATE'), (24, 30, 'PRODUCT')]"
John donated €1 billion to UN.,"[(0, 4, 'PER'), (27, 29, 'ORG'), (13, 23, 'MONEY')]"
John wrote about Mona Lisa in French.,"[(0, 4, 'PER'), (17, 26, 'WORK_OF_ART'), (30, 36, 'LANGUAGE'), (30, 36, 'NATIONALITY')]"
Amazon raised €200 in 2023.,"[(0, 6, 'ORG'), (22, 26, 'DATE'), (14, 18, 'MONEY')]"
Sophia donated €1 billion to Apple.,"[(0, 6, 'PER'), (29, 34, 'ORG'), (15, 25, 'MONEY')]"
The Empire State Building is a famous monument in Cairo.,"[(50, 55, 'LOC'), (4, 25, 'FACILITY')]"
Guernica is displayed at a museum in Cairo.,"[(37, 42, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Netflix announced a new iPhone on Monday.,"[(0, 7, 'ORG'), (34, 40, 'DATE'), (24, 30, 'PRODUCT')]"
Sophia donated $100 to Apple.,"[(0, 6, 'PER'), (23, 28, 'ORG'), (15, 19, 'MONEY')]"
David visited Cairo during the Comic-Con.,"[(0, 5, 'PER'), (14, 19, 'LOC'), (31, 40, 'EVENT')]"
Michael donated $5 million to Apple.,"[(0, 7, 'PER'), (30, 35, 'ORG'), (16, 26, 'MONEY')]"
Emma visited Rome during the Super Bowl.,"[(0, 4, 'PER'), (13, 17, 'LOC'), (29, 39, 'EVENT')]"
Liam donated €200 to WHO.,"[(0, 4, 'PER'), (21, 24, 'ORG'), (13, 17, 'MONEY')]"
MacBook Pro was launched by Apple at the Olympics.,"[(28, 33, 'ORG'), (0, 11, 'PRODUCT'), (41, 49, 'EVENT')]"
Surface Pro was launched by Tesla at the World Cup.,"[(28, 33, 'ORG'), (0, 11, 'PRODUCT'), (41, 50, 'EVENT')]"
NASA raised €200 in August 15.,"[(0, 4, 'ORG'), (20, 29, 'DATE'), (12, 16, 'MONEY')]"
Alice wrote about Starry Night in French.,"[(0, 5, 'PER'), (18, 30, 'WORK_OF_ART'), (34, 40, 'LANGUAGE'), (34, 40, 'NATIONALITY')]"
Michael donated $100 to NASA.,"[(0, 7, 'PER'), (24, 28, 'ORG'), (16, 20, 'MONEY')]"
UNICEF raised €200 in January 1st.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (22, 33, 'DATE'), (14, 18, 'MONEY')]"
Guernica is displayed at a museum in Rome.,"[(37, 41, 'LOC'), (0, 8, 'WORK_OF_ART')]"
UNICEF follows the HIPAA strictly.,"[(0, 6, 'ORG'), (0, 2, 'ORG'), (19, 24, 'LAW')]"
Sarah visited Paris during the Coachella.,"[(0, 5, 'PER'), (14, 19, 'LOC'), (31, 40, 'EVENT')]"
Microsoft follows the HIPAA strictly.,"[(0, 9, 'ORG'), (22, 27, 'LAW')]"
Alice is an American citizen working in New York.,"[(0, 5, 'PER'), (40, 48, 'LOC'), (12, 20, 'NATIONALITY')]"
Amazon announced a new Surface Pro on Monday.,"[(0, 6, 'ORG'), (38, 44, 'DATE'), (23, 34, 'PRODUCT')]"
David visited Cairo during the Comic-Con.,"[(0, 5, 'PER'), (14, 19, 'LOC'), (31, 40, 'EVENT')]"
Amazon follows the Copyright Law strictly.,"[(0, 6, 'ORG'), (19, 32, 'LAW')]"
Sarah visited Toronto during the Comic-Con.,"[(0, 5, 'PER'), (14, 21, 'LOC'), (33, 42, 'EVENT')]"
iPhone was launched by Apple at the Comic-Con.,"[(23, 28, 'ORG'), (0, 6, 'PRODUCT'), (36, 45, 'EVENT')]"
John visited New York during the Olympics.,"[(0, 4, 'PER'), (13, 21, 'LOC'), (33, 41, 'EVENT')]"
"NASA raised ₹50,000 in Monday.","[(0, 4, 'ORG'), (23, 29, 'DATE'), (12, 19, 'MONEY')]"
Guernica is displayed at a museum in Sydney.,"[(37, 43, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Amazon announced a new Galaxy S22 on Monday.,"[(0, 6, 'ORG'), (37, 43, 'DATE'), (23, 33, 'PRODUCT')]"
Starry Night is displayed at a museum in Toronto.,"[(41, 48, 'LOC'), (0, 12, 'WORK_OF_ART')]"
David visited Sydney during the World Cup.,"[(0, 5, 'PER'), (14, 20, 'LOC'), (32, 41, 'EVENT')]"
Sophia visited Sydney during the Olympics.,"[(0, 6, 'PER'), (15, 21, 'LOC'), (33, 41, 'EVENT')]"
Microsoft follows the HIPAA strictly.,"[(0, 9, 'ORG'), (22, 27, 'LAW')]"
Michael wrote about The Last Supper in Hindi.,"[(0, 7, 'PER'), (20, 35, 'WORK_OF_ART'), (39, 44, 'LANGUAGE')]"
Robert wrote about Mona Lisa in Hindi.,"[(0, 6, 'PER'), (19, 28, 'WORK_OF_ART'), (32, 37, 'LANGUAGE')]"
Pixel 8 was launched by UN at the Coachella.,"[(24, 26, 'ORG'), (0, 7, 'PRODUCT'), (34, 43, 'EVENT')]"
Guernica is displayed at a museum in Tokyo.,"[(37, 42, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Netflix follows the HIPAA strictly.,"[(0, 7, 'ORG'), (20, 25, 'LAW')]"
Google announced a new Kindle on April.,"[(0, 6, 'ORG'), (33, 38, 'DATE'), (23, 29, 'PRODUCT')]"
iPhone was launched by Amazon at the Comic-Con.,"[(23, 29, 'ORG'), (0, 6, 'PRODUCT'), (37, 46, 'EVENT')]"
Starry Night is displayed at a museum in Cairo.,"[(41, 46, 'LOC'), (0, 12, 'WORK_OF_ART')]"
Olivia visited Cairo during the Olympics.,"[(0, 6, 'PER'), (15, 20, 'LOC'), (32, 40, 'EVENT')]"
The Sydney Opera House is a famous monument in Sydney.,"[(4, 10, 'LOC'), (47, 53, 'LOC'), (4, 22, 'FACILITY')]"
John donated $100 to Amazon.,"[(0, 4, 'PER'), (21, 27, 'ORG'), (13, 17, 'MONEY')]"
Microsoft follows the GDPR strictly.,"[(0, 9, 'ORG'), (22, 26, 'LAW')]"
WHO raised $100 in June 5.,"[(0, 3, 'ORG'), (19, 25, 'DATE'), (11, 15, 'MONEY')]"
Guernica is displayed at a museum in Mumbai.,"[(37, 43, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Pixel 8 was launched by Amazon at the Olympics.,"[(24, 30, 'ORG'), (0, 7, 'PRODUCT'), (38, 46, 'EVENT')]"
Amazon follows the HIPAA strictly.,"[(0, 6, 'ORG'), (19, 24, 'LAW')]"
John visited Toronto during the Comic-Con.,"[(0, 4, 'PER'), (13, 20, 'LOC'), (32, 41, 'EVENT')]"
NASA follows the Patent Act strictly.,"[(0, 4, 'ORG'), (17, 27, 'LAW')]"
Sarah wrote about Mona Lisa in Hindi.,"[(0, 5, 'PER'), (18, 27, 'WORK_OF_ART'), (31, 36, 'LANGUAGE')]"
NASA follows the HIPAA strictly.,"[(0, 4, 'ORG'), (17, 22, 'LAW')]"
Guernica is displayed at a museum in Rome.,"[(37, 41, 'LOC'), (0, 8, 'WORK_OF_ART')]"
Apple announced a new iPhone on 2023.,"[(0, 5, 'ORG'), (32, 36, 'DATE'), (22, 28, 'PRODUCT')]"
Robert is an Canadian citizen working in Berlin.,"[(0, 6, 'PER'), (41, 47, 'LOC'), (13, 21, 'NATIONALITY')]"
David is an Japanese citizen working in London.,"[(0, 5, 'PER'), (40, 46, 'LOC'), (12, 20, 'NATIONALITY')]"
